infinitive,tu,usted,ustedes
divertir,divierte,divierta,diviertan
divertirse,diviértete,diviértase,diviértanse
divorciar,divorcia,divorcie,divorcien
divorciarse,divórciate,divórciese,divórciense
doblar,dobla,doble,doblen
doler,duele,duela,duelan
dormir,duerme,duerma,duerman
dormirse,duérmete,duérmase,duérmanse
duchar,ducha,duche,duchen
ducharse,dúchate,dúchese,dúchense
dudar,duda,dude,duden
durar,dura,dure,duren
echar,echa,eche,echen
echarse,échate,échese,échense
educar,educa,eduque,eduquen
efectuar,efectúa,efectúe,efectúen
ejercer,ejerce,ejerza,ejerzan
elegir,elige,elija,elijan
eliminar,elimina,elimine,eliminen
emborrachar,emborracha,emborrache,emborrachen
emborracharse,emborráchate,emborráchese,emborráchense
emigrar,emigra,emigre,emigren
empezar,empieza,empiece,empiecen
emplear,emplea,emplee,empleen
enamorar,enamora,enamore,enamoren
enamorarse,enamórate,enamórese,enamórense
encantar,encanta,encante,encanten
encender,enciende,encienda,enciendan
encontrar,encuentra,encuentre,encuentren
enfadar,enfada,enfade,enfaden
enfadarse,enfádate,enfádese,enfádense
enfermar,enferma,enferme,enfermen
enfermarse,enférmate,enférmese,enférmense
enflaquecer,enflaquece,enflaquezca,enflaquezcan
enflaquecerse,enflaquécete,enflaquézcase,enflaquézcanse
engañar,engaña,engañe,engañen
enojar,enoja,enoje,enojen
enojarse,enójate,enójese,enójense
enriquecer,enriquece,enriquezca,enriquezcan
enriquecerse,enriquécete,enriquézcase,enriquézcanse
enseñar,enseña,enseñe,enseñen
ensuciar,ensucia,ensucie,ensucien
entender,entiende,entienda,entiendan
enterarse,entérate,entérese,entérense
entrar,entra,entre,entren
entregar,entrega,entregue,entreguen
entretener,entretén,entretenga,entretengan
entrevistar,entrevista,entreviste,entrevisten
entusiasmar,entusiasma,entusiasme,entusiasmen
entusiasmarse,entusiásmate,entusiásmese,entusiásmense
envejecer,envejece,envejezca,envejezcan
envejecerse,envejécete,envejézcase,envejézcanse
enviar,envía,envíe,envíen
equivocar,equivoca,equivoque,equivoquen
equivocarse,equivócate,equivóquese,equivóquense
errar,yerra,yerre,yerren
escoger,escoge,escoja,escojan
esconder,esconde,esconda,escondan
esconderse,escóndete,escóndase,escóndanse
escribir,escribe,escriba,escriban
escuchar,escucha,escuche,escuchen
esquiar,esquía,esquíe,esquíen
establecer,establece,establezca,establezcan
estar,está,esté,estén
estimar,estima,estime,estimen
estudiar,estudia,estudie,estudien
evacuar,evacua,evacue,evacuen
evitar,evita,evite,eviten
exhibir,exhibe,exhiba,exhiban
exigir,exige,exija,exijan
explicar,explica,explique,expliquen
explorar,explora,explore,exploren
explotar,explota,explote,exploten
exponer,expón,exponga,expongan
exportar,exporta,exporte,exporten
expresar,expresa,exprese,expresen
extender,extiende,extienda,extiendan
extinguir,extingue,extinga,extingan
fabricar,fabrica,fabrique,fabriquen
faltar,falta,falte,falten
fascinar,fascina,fascine,fascinen
felicitar,felicita,felicite,feliciten
fijar,fija,fije,fijen
fingir,finge,finja,finjan
firmar,firma,firme,firmen
florecer,florece,florezca,florezcan
formar,forma,forme,formen
fortalecer,fortalece,fortalezca,fortalezcan
freír,fríe,fría,frían
fumar,fuma,fume,fumen
funcionar,funciona,funcione,funcionen
ganar,gana,gane,ganen
gastar,gasta,gaste,gasten
generalizar,generaliza,generalice,generalicen
glorificar,glorifica,glorifique,glorifiquen
gobernar,gobierna,gobierne,gobiernen
graduar,gradúa,gradúe,gradúen
graduarse,gradúate,gradúese,gradúense
gritar,grita,grite,griten
gruñir,gruñe,gruña,gruñan
guardar,guarda,guarde,guarden
guiar,guía,guíe,guíen
gustar,gusta,guste,gusten
hablar,habla,hable,hablen
hacer,haz,haga,hagan
hallar,halla,halle,hallen
hallarse,hállate,hállese,hállense
helar,hiela,hiele,hielen
heredar,hereda,herede,hereden
herir,hiere,hiera,hieran
hervir,hierve,hierva,hiervan
huir,huye,huya,huyan
ilustrar,ilustra,ilustre,ilustren
importar,importa,importe,importen
imprimir,imprime,imprima,impriman
incluir,incluye,incluya,incluyan
indicar,indica,indique,indiquen
